278  =Lcm16T

4    =Get past the Group stage of the na.
6    =Win the nb.
8    =Get past the Group stage of the nb.
226  =Congratulations. You have reached the %2$s| of the %1$s|.
228  =The club have been eliminated from the %1$s| in the %2$s|.
252  =I heard that you mastered the %s skill. Pulling it off in a match will certainly do your chances no harm.
253  =So you can now play %s, right? Well, versatility is the key to getting more chances. So good on you!
270  =The %s Team of the Season has been announced.
275  =Use your alter-ego in Master League!
284  =Play an exhibition match in the perfectly recreated surroundings of the %s.
285  =Watch two COM controlled teams play against each other. It's almost as good as watching the %s for real!
287  =Enter Online Competitions and test yourself against the best players from all around.
288  =Take control over your club on and off the pitch. Become the world's most successful club by winning domestic and international silverware.
289  =Get a taste of what life is like in the beautiful game by playing through the career of a footballer.
290  =Delve into the chaotic world of the modern day transfer market and create your very own team to take on opponents from all around the world.
291  =Take on a friend or the COM in a single match. You have the option of four modes: Exhibition Match, Random Selection Match, VERSUS and CO-OP.
292  =Play against friends and rivals online to contest the coveted No.1 ranking.
293  =Watch two COM controlled teams play against each other.
294  =Competition regulations can be set freely.
296  =The player is open to negotiations. However, any offer we make is likely to be snubbed.
310  =We can't make offers for him as he has announced his retirement already.
373  =Choose the number of teams which can take part in the competition.
376  =All matches will be played in Home & Away format with the exception of the final which will be a single-legged match.
377  =During the qualifying phase, teams are divided into groups and play each other in round-robin format. The top teams in each group can then advance to the knockout phase.
378  =All rounds in this competition will be played under the knockout system.
379  =If enabled, the losing semi-finalists will contest for 3rd place in a 3rd place play-off.
382  =Test yourself in the %s to contest for the title of Latin America's No.1 club.
390  =%s has been selected as your Main Personal Data.
When playing single-player modes, your Main Personal Data will be the one loaded each time.
This setting can also be changed in the mid-match pause menu.
408  =Changes have been made to the squad.
409  =The club have qualified for next season's %s.
410  =%s Team of the Tournament announced.
411  =You have been offered a national team manager's job!
420  =You were named amongst the substitutes today.
421  =A new player has been brought to your attention.
422  =You were named %s best manager.
423  =Some players are showing real promise.
Giving them more playing time could prove a catalyst for a real breakthrough.
424  =Some players have shown remarkable progress.
425  =Some players unfortunately were unable to shine when given the chance.
426  =Looking very promising of late.
Could make a real breakthrough if given more playing time.
427  =Made rapid progress after making the most of his chances.
428  =Looked good, but was ultimately flattered to deceive.
429  =There are some teams that are interested in your services.
Choose which offer you want to take up.
430  =Due to poor performances, %s have opted not to renew your contract.
Choose which team you want to manage next season.
431  =%s has been looking really good.
A bit more playing time may be all he needs to make that breakthrough.
432  =There are %d players who have shown some very promising signs.
More minutes on the pitch could be exactly what they all need to make some real progress.
433  =%s is improving dramatically at the moment!
434  =%d players have made rapid progress.
435  =A breakthrough looked on the cards for %s. 
Sadly it didn't happen this time.
436  =%d players unfortunately, weren't able to make the most of their recent chances.
440  =%2$s| has been appointed new manager of %1$s|.
Do your best to build up mutual trust and respect.
