278  =Lcm16T

4    =Пройдите Групповой этап соревнования «na».
6    =Победите в соревновании «nb»
8    =Пройдите Групповой этап соревнования «nb».
226  =Отлично! Вы вышли в стадию «%2$s|» соревнования «%1$s|».
228  =Клуб вылетел из соревнования «%1$s|» на стадии «%2$s|».
252  =Я слышал, ты освоил навык «%s». Его использование в игре только повысит твои шансы на успех.
253  =Теперь ты можешь играть на позиции «%s», верно? Разносторонность повышает шансы на успех. Так что это пойдет тебе на пользу!
270  =Объявлен состав символической сборной по итогам соревнования «%s».
275  =Используйте свое второе «я» в режиме «Мастер-лига»!
284  =Сыграйте товарищеский матч в воссозданной до мельчайших подробностей атмосфере соревнования «%s».
285  =Посмотрите игру с участием двух команд под управлением ИИ. Это так же увлекательно, как смотреть соревнование «%s» на самом деле!
287  =Участвуйте в соревнованиях по сети и испытайте себя в играх с лучшими игроками со всех уголков мира.
288  =Возьмите свой клуб под свой контроль на поле и вне его. Станьте самым успешным клубом в мире, выиграв местные и международные награды.
289  =Почувствуйте вкус жизни благодаря этой прекрасной игре, сделав карьеру футболиста.
290  =Погрузитесь с головой в хаотический мир современного трансферного рынка и создайте свою команду для сражений с соперниками со всего мира.
291  =Бросьте вызов другу или ИИ на один матч. На выбор предлагается четыре режима: «Товарищеский матч», «Матч со случайным составом», «ДУЭЛЬ» и «КООП».
292  =Играйте по сети против друзей и других соперников, чтобы завевать лучший рейтинг в мире.
293  =Смотрите игры с участием двух команд под управлением ИИ.
294  =Регламент соревнований можно устанавливать по своему усмотрению.
296  =Этот игрок готов к переговорам. Однако все наши предложения, скорее всего, будут отклонены.
310  =Мы не можем ему ничего предлагать, поскольку он объявил о своем уходе из спорта.
373  =Выберите число команд, которые участвуют в соревновании.
376  =Все матчи будут иметь формат «Дома и в гостях» за исключением финала, который будет одиночным.
377  =Во время квалификации команды разделяются на группы. Команды в группах играют между собой по круговой системе. Лучшие команды в каждой группе проходят в этап на выбывание.
378  =Все раунды в этом соревновании проводятся по системе «на выбывание».
379  =Если соответствующий параметр включен, команды, проигравшие в полуфинале, борются за третье место.
382  =Испытайте себя в соревновании «%s» и завоюйте титул лучшего клуба Латинской Америки.
390  =Выбран файл «%s». Это будут ваши Основные Личные данные пользователя.
В одиночных режимах эти Основные Личные данные пользователя будут каждый раз загружаться.
Эту настройку можно изменить во время матча в меню паузы.
408  =В команде произошли изменения.
409  =Клуб будет участвовать в соревн. «%s» в след. сезоне.
410  =Скоро начнется «%s» - одно из самых престижных соревнований.
411  =Вам предложили должность главного тренера национальной сборной!
420  =Сегодня вы остаетесь в запасе.
421  =Вашему вниманию предлагается новый игрок.
422  =Назнан лучший главный тренер соревнования «%s».
423  =Некоторые игроки подают большие надежды.
Почаще выпускайте их на поле, и они сделают настоящий прорыв.
424  =Некоторые игроки быстро прогрессируют.
425  =Некоторым игрокам, к сожалению, не удалось блеснуть, когда у них был такой шанс.
426  =Подает большие надежды в последнее время.
Мог сделать настоящий прорыв, если бы его чаще выпускали на поле.
427  =Воспользовался своим шансом и добился быстрого прогресса.
428  =Играл хорошо, но потом заболел звездной болезнью.
429  =Есть команды, заинтересованные в ваших услугах.
Выберите предложение, которое вы хотите принять.
430  =Администрация команды «%s» не хочет продлять с вами контракт из-за низких показателей.
Выберите команду, которой вы хотите руководить в следующем сезоне.
431  =%s играл очень хорошо.
Возможно, если бы ему немного больше давали играть, он бы вышел на качественно новый уровень.
432  =Есть игроки, подающие большие надежды. Их %d.
Их бы немного чаще выпускать на поле - тогда бы они добились значительного прогресса.
433  =%s демонстрирует значительный прогресс!
434  =Некоторые игроки быстро прогрессировали. Их %d.
435  =Казалось, %s должен был выйти на новый уровень. 
К сожалению, на этот раз надежды не оправдались.
436  =К сожалению, часть игроков не оправдала доверие тренера. Таких игроков %d.
440  =%2$s| - теперь новый главный тренер команды «%1$s|».
Постарайтесь заслужить доверие и уважение футболистов.
441  =Администрация команды «%s» решила не продлять с вами контракт из-за низких показателей.
Выберите команду, за которую вы хотите играть в следующем сезоне.
442  =В молодежной команде «%s» пополнение.
443  =Обновлен рейтинг команд. Команда «%s» теперь занимает %d-е место.
444  =Обновлен рейтинг лиг. Лига «%s» теперь занимает %d-е место.
445  =Обновлен рейтинг национальных сборных. Страна «%1$s|» теперь занимает %2$d|-е место.
446  =По итогам последнего рейтинга национальных сборных 1-е место занимает %s.
447  =Команда «%s» не представлена в национальной сборной. 
448  =%3$s| из команды «%2$s|» не получил приглашения в национальную сборную (%1$s|).
449  =%3$s| из команды «%2$s|» получил приглашение в национальную сборную (%1$s|).
450  =%3$s| из команды «%2$s|» включен в национальную сборную (%1$s|).
451  =%2$s| из команды «%1$s|» готовится к финалу.
453  =%s объявил об уходе из футбола.
455  =%2$s| из команды «%1$s|» получил приз. Это %3$s|.
456  =%3$s| из команды «%2$s|» признан СЦИ в соревновании «%1$s|».
457  =%3$s| из команды «%2$s|» стал лучшим бомбардиром соревнования «%1$s|».
458  =%3$s| из команды «%2$s|» стал лучшим ассистентом соревнования «%1$s|».
459  =%2$s| из команды «%1$s|» включен в сборную турнира «%3$s|».
461  =Команда «%2$s|» победила в соревновании «%1$s|». Все внесенные в расписание встречи доиграны до конца.
462  =Объявлены результаты жеребьевки %2$s|-го раунда соревнования «%1$s|».
463  =%s дисквалифицирован, поэтому не играет.
464  =Предполагаемое время восстановления после травмы игрока %2$s| из команды «%1$s|» - %3$s|.
465  =%s возвращается на поле после травмы.
466  =%3$s| из команды «%2$s|» получил предложение перейти в «%1$s|».
467  =ОФИЦИАЛЬНОЕ ЗАЯВЛЕНИЕ. %2$s| переходит из «%1$s|» в «%3$s|». Стоимость трансфера: %4$s|.
468  =ОФИЦИАЛЬНОЕ ЗАЯВЛЕНИЕ. «%3$s|» арендует футболиста %2$s| из клуба «%1$s|». 
469  =%1$s| переходит в клуб «%2$s|».
470  =%s возвращается после аренды.
471  =Игрока %2$s| из команды «%1$s|« не устроило предложение клуба «%3$s|». 
472  =Клубам «%3$s|» и «%1$s|« не удалось договориться об аренде игрока %2$s|. 
473  =%2$s| подписал годовой контракт с клубом «%1$s|» на сумму %3$s|.
474  =ОФИЦИАЛЬНОЕ ЗАЯВЛЕНИЕ. %2$s| уходит с поста главного тренера клуба «%1$s|».
475  =ОФИЦИАЛЬНОЕ ЗАЯВЛЕНИЕ. %2$s| уволен из клуба «%1$s|» из-за низких результатов.
478  =ОФИЦИАЛЬНОЕ ЗАЯВЛЕНИЕ. %1$s| занял пост главного тренера в клубе «%2$s|».
481  =%2$s| из клуба «%1$s|» подает надежды.
